Timestamp,S_EXPOSE,APERTURE,EXPOSURE
1934.316601978691,22.956,0.075,54.0
1934.3494254185694,50.0,0.075,60.0
1934.3521575342465,50.0,0.075,63.0
1934.3631145357685,50.0,0.075,58.0
1934.4779661339421,10.62,0.075,72.0
1934.6668131659055,13.374,0.038,61.0
1934.7349200913243,11.015,0.075,60.0
1934.8033162100458,13.805,0.075,46.0
1934.8171289954337,11.668,0.075,60.0
1934.8417579908676,26.456,0.038,127.0
1934.8636415525114,13.17,0.038,85.0
1935.2343721461186,36.297,0.2,23.0
1935.2344653729072,11.758,0.075,62.0
1935.2370814307458,13.61,0.075,60.0
1935.2372317351599,26.226,0.2,20.0
1935.2398839421614,11.675,0.075,40.0
1935.2400152207001,50.0,0.2,11.0
1935.2452663622526,9.006,0.075,40.0
1935.2562252663622,10.738,0.075,50.0
1935.2589707001523,10.492,0.075,30.0
1935.264453957382,9.586,0.075,40.0
1935.264640410959,50.0,0.2,20.0
1935.2672336377473,9.159,0.075,40.0
1935.2753633942161,10.468,0.075,40.0
1935.2945643074581,28.314,0.075,40.0
1935.3409246575343,8.528,0.075,35.0
1935.3628843226788,10.93,0.075,40.0
1935.3711834094368,15.355,0.075,54.0
1935.3902149923897,21.965,0.075,31.0
1935.398536910198,9.967,0.075,37.0
1935.4012842465754,12.411,0.075,57.0
1935.4123040334855,11.168,0.038,65.0
1935.445256849315,16.804,0.0635,48.0
1935.5053310502283,13.949,0.038,60.0
1935.5270947488584,20.255,0.038,64.0
1935.5709988584474,11.849,0.075,111.0
1935.5846366057838,16.046,0.0635,66.0
1935.584710806697,15.738,0.075,122.0
1935.6041552511415,13.45,0.075,6.0
1935.606546803653,20.576,0.0635,60.0
1935.6091723744291,33.986,0.0635,67.0
1935.6313546423135,29.752,0.038,58.0
1935.6340563165907,20.12,0.038,90.0
1935.6615258751904,15.472,0.038,99.0
1935.6829299847793,14.636,0.0635,70.0
1935.6830669710807,16.513,0.0635,71.0
1935.694189497717,36.86,0.075,50.0
1935.721246194825,13.325,0.038,94.0
1935.724244672755,20.46,0.038,92.0
1935.7486206240487,13.749,0.075,119.0
1935.751440258752,10.607,0.075,50.0
1935.7540391933028,13.523,0.0635,60.0
1935.7678063165906,22.286,0.075,60.0
1935.7923839421615,11.846,0.038,74.0
1936.3102876442015,50.0,0.2,30.0
1936.3320639799636,18.633,0.2,25.0
1936.4303373557984,21.605,0.0635,86.0
1936.5586122495447,17.009,0.075,95.0
1936.6047491651489,17.219,0.038,104.0
1936.6051457194899,43.943,0.038,102.0
1936.6078248330298,17.266,0.075,60.0
1936.6156971007892,14.081,0.075,138.0
1936.6922453703703,11.609,0.075,77.0
1936.703075667881,12.801,0.075,98.0
1936.7356026108075,10.783,0.0635,80.0
1936.7356405585913,32.7,0.038,120.0
1937.3001598173516,19.62,0.038,59.0
1937.3712766362253,14.047,0.038,65.0
1937.4589326484017,31.915,0.075,65.0
1937.4779014459666,29.643,0.075,40.0
1937.5164573820396,16.032,0.038,94.0
1937.540913242009,17.235,0.038,120.0
1937.5462328767123,16.806,0.075,54.0
1937.5545110350076,20.021,0.075,40.0
1937.6201008371386,32.889,0.075,62.0
1937.69125761035,8.196,0.075,85.0
1937.7049429223744,8.289,0.075,85.0
1937.7295547945205,11.293,0.038,50.0
1937.7460292998478,11.981,0.075,70.0
1937.7598040334856,11.428,0.075,68.0
1937.7786605783865,25.586,0.075,60.0
1937.8170547945206,10.341,0.038,83.0
1937.844406392694,8.646,0.038,82.0
1937.844398782344,8.641,0.075,64.0
1938.3193017503804,18.807,0.038,55.0
1938.3384094368341,16.06,0.038,107.0
1938.352092846271,17.845,0.038,84.0
1938.4149353120245,16.635,0.038,108.0
1938.4177245053272,18.13,0.038,160.0
1938.4287519025875,10.763,0.075,65.0
1938.450664003044,45.458,0.075,60.0
1938.4943569254185,11.378,0.075,69.0
1938.513555936073,25.383,0.038,120.0
1938.5653291476408,20.143,0.038,107.0
1938.6612252663622,49.451,0.4,180.0
1938.6693226788432,17.17,0.038,96.0
1938.6939535768645,50.0,0.075,61.0
1938.6966990106546,17.82,0.075,50.0
1938.7321822678844,23.396,0.075,60.0
1938.7323002283106,28.358,0.075,62.0
1938.7513755707762,15.631,0.075,64.0
1938.7596385083714,30.0,0.075,55.0
1938.7597526636225,26.17,0.075,61.0
1938.7623611111112,24.756,0.075,41.0
1938.7733961187214,43.826,0.075,50.0
1938.77600456621,50.0,0.038,56.0
1938.7760216894976,42.903,0.075,58.0
1938.8198040334855,12.213,0.038,82.0
1938.8362119482497,13.691,0.075,60.0
1938.8608352359208,14.912,0.038,57.0
1938.8881506849316,11.052,0.038,96.0
1939.2399353120243,12.027,0.038,72.0
1939.3302435312025,27.415,0.038,72.0
1939.3657895738204,11.574,0.038,66.0
1939.4315372907154,18.579,0.075,60.0
1939.4478824200912,14.743,0.038,137.0
1939.4642294520547,19.813,0.038,83.0
1939.4999219939118,25.514,0.075,60.0
1939.500051369863,30.38,0.075,71.0
1939.5243759512937,21.351,0.075,60.0
1939.5244368340943,22.517,0.038,101.0
1939.529805936073,43.943,0.4,180.0
1939.53549086758,18.228,0.075,60.0
1939.5489212328766,10.478,0.038,155.0
1939.5490239726028,13.411,0.075,60.0
1939.5518378995434,9.94,0.075,70.0
1939.5546461187214,10.474,0.075,90.0
1939.5955479452055,39.652,0.075,113.0
1939.6066152968037,10.005,0.075,60.0
1939.6090715372907,31.237,0.038,120.0
1939.6146537290715,10.996,0.075,35.0
1939.6448192541857,12.06,0.075,62.0
1939.6720719178081,39.396,0.075,60.0
1939.704809741248,9.612,0.038,90.0
1939.7077264079148,8.9,0.038,100.0
1939.71849695586,11.75,0.075,61.0
1939.7266552511417,21.476,0.075,60.0
1939.7267656012177,19.572,0.075,54.0
1939.7759760273973,10.436,0.038,56.0
1939.7760273972603,10.992,0.4,10.0
1939.7760882800608,10.822,0.4,10.0
1939.7841229071537,50.0,0.075,55.0
1939.7842579908677,11.72,0.075,60.0
1939.7977720700153,42.603,0.075,61.0
1939.80323630137,34.051,0.075,60.0
1939.814200913242,18.617,0.075,60.0
1939.827994672755,50.0,0.038,59.0
1939.8362176560122,15.289,0.038,70.0
1939.852657914764,15.498,0.075,57.0
1939.8527663622526,13.995,0.075,54.0
1940.351113767456,13.066,0.038,108.0
1940.356614298725,11.493,0.038,75.0
1940.430272844566,19.572,0.075,62.0
1940.4603464632664,26.704,0.075,60.0
1940.468522313297,33.613,0.075,69.0
1940.4739754098362,18.674,0.075,65.0
1940.4877333788706,30.97,0.038,71.0
1940.4904789010322,25.621,0.075,51.0
1940.4957005160898,14.146,0.075,74.0
1940.4957441560414,11.464,0.038,105.0
1940.512105343048,17.089,0.038,119.0
1940.5147977383122,16.504,0.075,77.0
1940.514915376442,11.88,0.075,80.0
1940.5204804189436,13.533,0.038,86.0
1940.5366347905283,39.144,0.075,59.0
1940.5367486338798,21.057,0.075,60.0
1940.5368662720098,25.706,0.038,120.0
1940.5747191863995,19.063,0.075,61.0
1940.5965448542804,13.539,0.075,68.0
1940.5966871584699,16.73,0.075,58.0
1940.5967991044322,16.684,0.075,59.0
1940.6130654219794,17.89,0.075,81.0
1940.6212090163935,33.308,0.075,59.0
1940.621322859745,28.227,0.075,60.0
1940.6238995142683,18.944,0.075,53.0
1940.6373975409836,20.0,0.075,72.0
1940.6375569216757,50.0,0.075,59.0
1940.6400937310261,11.364,0.075,51.0
1940.6892019581057,12.445,0.075,70.0
1940.689255085003,17.82,0.075,60.0
1940.689372723133,18.617,0.075,60.0
1940.7055878111719,16.73,0.075,65.0
1940.719201578628,11.796,0.075,48.0
1940.719302140255,15.657,0.075,56.0
1940.741106936855,10.638,0.038,120.0
1940.7437329234972,24.232,0.075,52.0
1940.773747723133,20.131,0.075,56.0
1940.7738236187006,12.156,0.075,60.0
1940.7765368852458,14.345,0.075,65.0
1940.7874962052217,30.23,0.075,29.0
1940.814687689739,12.695,0.075,37.0
1940.8148129174256,9.728,0.075,89.0
1941.2672907153728,10.021,0.038,54.0
1941.3767313546423,12.362,0.038,83.0
1941.379366438356,9.359,0.038,68.0
1941.4123325722983,12.329,0.038,87.0
1941.488896499239,28.991,0.038,126.0
1941.5408751902587,11.903,0.075,65.0
1941.5628101217656,13.189,0.075,60.0
1941.6694235159816,32.236,0.038,80.0
1941.6832058599696,24.689,0.075,45.0
1941.699303652968,13.057,0.075,60.0
1941.702081430746,10.939,0.038,117.0
1941.7130251141552,17.233,0.075,120.0
1941.7322792998477,17.615,0.075,118.0
1941.7459798325724,10.32,0.075,47.0
1941.7786491628615,10.126,0.075,60.0
1941.7813831811263,11.039,0.038,48.0
1942.510802891933,19.286,0.038,153.0
1942.5326997716895,23.448,0.038,138.0
1942.5600304414004,50.0,0.075,74.0
1942.6803386605784,10.744,0.075,118.0
1942.7020947488584,13.189,0.038,107.0
1942.7268245814307,17.7,0.075,56.0
1942.726942541857,19.934,0.075,65.0
1942.7460578386606,10.904,0.075,60.0
1942.852657914764,10.274,0.075,106.0
1943.2782096651447,11.314,0.038,87.0
1943.5492123287672,44.157,0.038,121.0
1943.5844596651445,14.324,0.038,90.0
1943.5871727549468,10.999,0.038,122.0
1943.6337043378996,12.516,0.038,89.0
1943.729604261796,11.385,0.038,93.0
1943.7431773211567,11.784,0.038,105.0
1943.8307020547945,11.618,0.038,60.0
1944.3811380540376,15.765,0.075,15.0
1944.3839556769885,18.174,0.075,15.0
1944.386534228901,20.437,0.038,120.0
1944.386612021858,19.551,0.075,17.0
1944.4002314814816,15.684,0.075,15.0
1944.452218047966,9.928,0.038,30.0
1944.4874772313296,16.041,0.075,15.0
1944.4985238312083,17.688,0.038,70.0
1944.5229280510018,13.55,0.075,20.0
1944.5229678961748,19.223,0.075,20.0
1944.5364090012142,9.385,0.075,15.0
1944.555768063145,9.452,0.038,121.0
1944.5664370825743,13.759,0.038,77.0
1944.5666173345476,13.6,0.075,98.0
1944.5829880085003,22.295,0.038,67.0
1944.5830866727383,13.59,0.075,15.0
1944.5831227231329,13.303,0.075,15.0
1944.5831853369764,13.011,0.075,25.0
1944.6046808591377,9.443,0.075,11.0
1944.604938904068,10.738,0.075,15.0
1944.6051779751062,11.456,0.075,15.0
1944.607325819672,9.918,0.075,15.0
1944.60754212204,9.718,0.075,15.0
1944.6076939131756,10.814,0.075,15.0
1944.6078608834243,10.982,0.075,15.0
1944.6239393594415,11.123,0.075,15.0
1944.632018442623,7.865,0.075,15.0
1944.6321854128719,9.653,0.038,122.0
1944.6322176684882,9.011,0.075,15.0
1944.6346671979356,9.168,0.075,15.0
1944.6348948846387,9.308,0.075,15.0
1944.6374582574379,11.536,0.075,15.0
1944.6377238919247,11.661,0.075,15.17
1944.653815649666,10.801,0.075,15.0
1944.6865095628416,10.911,0.075,15.0
1944.6867011991499,11.245,0.075,15.0
1944.6896269732847,10.904,0.075,15.0
1944.6919816332727,11.28,0.075,15.0
1944.6920954766242,8.94,0.075,15.0
1944.6922662416514,9.1,0.075,15.0
1944.6947005919853,8.629,0.075,15.0
1944.6974593958712,9.207,0.038,113.0
1944.7086388129933,9.215,0.075,15.0
1944.7110655737704,8.229,0.075,15.0
1944.7111243928355,8.721,0.038,88.0
1944.7574643290832,12.262,0.038,54.0
1944.7766317547055,11.457,0.038,68.0
1945.4369615677322,9.708,0.075,78.0
1945.499805936073,9.516,0.038,68.0
1945.4999904870624,11.545,0.038,99.0
1945.5270509893455,8.193,0.038,66.0
1945.6064973363775,9.166,0.038,84.0
1945.6093226788432,11.272,0.038,76.0
1945.6528462709284,11.329,0.075,84.0
1945.6720110350077,10.394,0.038,144.0
1945.6883808980213,9.078,0.038,82.0
1945.737701674277,9.182,0.075,95.0
1945.756803652968,8.186,0.038,65.0
1945.8307229832571,8.062,0.038,93.0
1945.9730802891934,10.353,0.038,56.0
1945.9785102739727,8.403,0.075,20.0
